nom;code
Rand;ZAR
Dinar algérien;DZD
Euro;EUR
Peso argentin;ARS
Dollar australien;AUD
Dollar bélizien;BZD
Kyat;MMK
Boliviano;BOB
Réal brésilien;BRL
Lev bulgare;BGN
Riel;KHR
Dollar canadien;CAD
Peso chilien;CLP
Yuan;CNY
Peso colombien;COP
Colón costaricien;CRC
Kuna ou Euro;HRK
Peso cubain;CUP
Livre égyptienne;EGP
Dirham ;AED
Dollar américain;USD
Quetzal;GTQ
Forint;HUF
Roupie indienne;INR
Roupie indonésienne;IDR
Couronne islandaise;ISK
Shekel;ILS
Yen;JPY
Dinar jordanien;JOD
Shilling kényan;KES
Kip laotien;LAK
Ringgit;MYR
Dirham marocain;MAD
Peso mexicain;MXN
Tugrik;MNT
Roupie népalaise;NPR
Cordoba;NIO
Couronne norvégienne;NOK
Dollar néo-zélandais;NZD
Sol;PEN
Riyal qatarien;QAR
Couronne tchèque;CZK
Leu roumain;RON
Livre sterling;GBP
Rouble russe;RUB
Dollar de Singapour;SGD
Couronne suédoise;SEK
Franc Suisse;CHF
Baht;THB
Dinar tunisien;TND
Livre turque;TRY
Bolivar vénézuélien;VEF
Dong;VND
Zloty polonais;PLN
Peso philippin;PHP
Roupie srilankaise;LKR
